Abbey Lane     EH8 8HH
Abbey Mount     EH8 8EJ
Abbey Strand     EH8 8DU
Abbey Street     EH7 5SJ
Abbeyhill     EH8 8DY
Abbeyhill Crescent     EH8 8DZ
Abbeyhill Industrial Estate, Abbey Lane     EH8 8HL
Abbotsford Court     EH10 5EH
Abbotsford Crescent     EH10 5DY
Abbotsford Park     EH10 5DX
Abercorn Avenue     EH8 7HP
Abercorn Cottages     EH15 3QB
Abercorn Court     EH8 7LP
Abercorn Crescent     EH8 7HR
Abercorn Drive     EH8 7JR
Abercorn Gardens     EH8 7BL
Abercorn Grove     EH8 7HS
Abercorn Road     EH8 7DD
Abercorn Terrace     EH15 2DD
Abercromby Place     EH3 6JX
Abinger Gardens     EH12 6DE
Academy Park     EH6 8JL
Academy Street     EH6 7EE
Adams Well     EH13 0FA
Adelphi Grove     EH15 1AP
Adelphi Place     EH15 1BE
Admiral Terrace     EH10 4JH
Admiralty Street     EH6 6JP
Advocates Close     EH1 1ND
Afton Place     EH5 3RB
Afton Terrace     EH5 3NG
Agnew Terrace     EH6 4QU
Ainslie Place     EH3 6AJ
Airlie Place     EH3 5DU
Aitchisons Place     EH15 1HS
Alan Breck Gardens     EH4 7HU
Albany Lane     EH1 3QP
Albany Street     EH1 3PY
Albany Street Lane     EH1 3PQ
Albert Place     EH7 5HN
Albert Road     EH6 7DP
Albert Street     EH7 5HL
Albert Terrace     EH10 5EA
Albion Gardens     EH7 5NP
Albion Place     EH7 5PZ
Albion Road     EH7 5QJ
Albion Terrace     EH7 5QX
Albyn Place     EH2 4NG
Alcorn Rigg     EH14 3BF
Alcorn Square     EH14 3GA
Alderbank Gardens     EH11 1SY
Alderbank Place     EH11 1SZ
Alderbank Terrace     EH11 1SX
Aldermoor Avenue     EH13 9HT
Alemoor Crescent     EH7 6UJ
Alemoor Park     EH7 6US
Alexander Crum Brown Road     EH9 3FF
Alexander Drive     EH11 2RH
Alfred Place     EH9 1RX
Allan Park Crescent     EH14 1LE
Allan Park Drive     EH14 1LL
Allan Park Gardens     EH14 1LN
Allan Park Loan     EH14 1LG
Allan Park Road     EH14 1LB
Allanfield     EH7 5YG
Allanfield Place     EH7 5AG
Allermuir Road     EH13 0HE
Alloway Loan     EH16 6XH
Almond Bank Cottages     EH4 6PJ
Almond Court     EH16 4EE
Almond Green     EH12 8UA
Almond Square     EH12 8TZ
Almondbank Terrace     EH11 1SR
Alnwickhill Court     EH16 6YG
Alnwickhill Crescent     EH16 6XY
Alnwickhill Drive     EH16 6PE
Alnwickhill Gardens     EH16 6NF
Alnwickhill Grove     EH16 6YA
Alnwickhill Loan     EH16 6YB
